logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
av norte miguel arraes de alencar;3071;;1068562,63;Encruzilhada;Recife;PE;1997;438;511;1;Médio;Galpão;COMERCIAL SEM LIXO ORGANICO;2025-11-30;Regular;Galpão;0,00;46540;-8.034273;-34.896337;2025
av norte miguel arraes de alencar;3071;;1068562,63;Encruzilhada;Recife;PE;1997;438;511;1;Médio;Galpão;COMERCIAL SEM LIXO ORGANICO;2025-11-30;Regular;Galpão;0,00;46540;-8.034273;-34.896337;2025
av norte miguel arraes de alencar;3029;;1951000,00;Encruzilhada;Recife;PE;1957;779,33;582,44;1;Médio;Casa;COMERCIAL SEM LIXO ORGANICO;2025-11-30;Regular;Casa;0,00;46540;-8.034435;-34.896335;2025
rua caio pereira;375;apto 101 edf luar do rosarinho;393452,82;Encruzilhada;Recife;PE;2007;798,91;118,64;0,02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-28;Bom;Apartamento;263000,00;13269;-8.034996;-34.896187;2025
rua caio pereira;375;apto 501 edf luar do rosarinho;402821,74;Encruzilhada;Recife;PE;2007;798,91;118,64;0,02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-02;Bom;Apartamento;200000,00;13269;-8.034996;-34.896187;2025
rua caio pereira;375;apto 1202 edf luar do rosarinho;462821,07;Encruzilhada;Recife;PE;2007;798,91;132,11;0,027;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-30;Bom;Apartamento;261476,04;13269;-8.034996;-34.896187;2025
rua caio pereira;375;apto 1302 edf luar do rosarinho;465551,99;Encruzilhada;Recife;PE;2007;798,91;132,11;0,027;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-06;Bom;Apartamento;0,00;13269;-8.034996;-34.896187;2025
rua caio pereira;375;apto 302 edf luar do rosarinho;398109,72;Encruzilhada;Recife;PE;2007;798,91;118,64;0,02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-12;Bom;Apartamento;0,00;13269;-8.034996;-34.896187;2025
rua caio pereira;375;apto 803 edf luar do rosarinho;505000,00;Encruzilhada;Recife;PE;2007;798,91;132,01;0,02698;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0,00;13269;-8.034996;-34.896187;2025
rua caio pereira;800;apto 1201 edf sainte juliana;790000,00;Encruzilhada;Recife;PE;2017;1295,39;145,68;0,01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-14;Bom;Apartamento;0,00;13269;;;2025
rua caio pereira;800;apto 1503 edf sainte juliana;780000,00;Encruzilhada;Recife;PE;2017;1295,39;145,49;0,01581;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-03;Bom;Apartamento;470000,00;13269;;;2025
rua caio pereira;800;apto 1703 edf sainte juliana;800000,00;Encruzilhada;Recife;PE;2017;1295,39;145,49;0,01581;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-29;Bom;Apartamento;525000,00;13269;;;2025
rua caio pereira;800;apto 1501 edf sainte juliana;780000,00;Encruzilhada;Recife;PE;2017;1295,39;145,68;0,01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0,00;13269;;;2025
rua caio pereira;800;apto 1602 edf sainte juliana;840000,00;Encruzilhada;Recife;PE;2017;1295,39;145,8;0,01589;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-14;Bom;Apartamento;565600,32;13269;;;2025
av santos dumont;824;;1882395,00;Encruzilhada;Recife;PE;1951;466,88;290,97;1;Médio;Casa;RESIDENCIAL;2025-11-27;Bom;Casa;0,00;53996;-8.034406;-34.896653;2025
rua caio pereira;334;apto 201 edf essenza rosarinho;1080000,00;Encruzilhada;Recife;PE;2011;1737,63;183,6;0,01923;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-11;Bom;Apartamento;580000,00;13269;-8.035095;-34.896937;2025
rua caio pereira;334;apto 202 edf essenza rosarinho;1000000,00;Encruzilhada;Recife;PE;2011;1737,63;183,6;0,01923;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-14;Bom;Apartamento;0,00;13269;-8.035095;-34.896937;2025
rua belmiro correa;59;apto 602 edf. jardim monet;1050000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-13;Bom;Apartamento;0,00;10715;-8.035535;-34.896122;2025
rua belmiro correa;59;apto 1501 edf. jardim monet;1200000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-18;Bom;Apartamento;350000,00;10715;-8.035535;-34.896122;2025
rua doutor jose maria;578;apto 0102 edf praia de ceres;595739,42;Encruzilhada;Recife;PE;2002;861;184,77;0,03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0,00;36196;-8.035868;-34.89625;2025
rua doutor jose maria;600;apto 503 edf maria rosa;525000,00;Encruzilhada;Recife;PE;2010;2431;111,89;0,00754;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-16;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 104 edf maria rosa;516707,95;Encruzilhada;Recife;PE;2010;2431;139,57;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-13;Bom;Apartamento;400000,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 2704 edf maria rosa;700000,00;Encruzilhada;Recife;PE;2010;2431;139,58;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-02;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 1803 edf maria rosa;550000,00;Encruzilhada;Recife;PE;2010;2431;111,89;0,00754;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-25;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 1101 edf maria rosa;650000,00;Encruzilhada;Recife;PE;2010;2431;139,58;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-31;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 1003 edf maria rosa;512572,51;Encruzilhada;Recife;PE;2010;2431;111,89;0,00754;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-12-01;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 1003 edf maria rosa;512572,51;Encruzilhada;Recife;PE;2010;2431;111,89;0,00754;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-12-02;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 101 edf maria rosa;600000,00;Encruzilhada;Recife;PE;2010;2431;139,58;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-02;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;658;apto 1701 edf casa rosada;600000,00;Encruzilhada;Recife;PE;2010;3090,5;244,73;0,01401;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-09;Bom;Apartamento;0,00;36196;-8.035419;-34.897024;2025
rua doutor jose maria;512;apto 802 privilege rosarinho;600000,00;Encruzilhada;Recife;PE;2016;1619,23;122,37;0,01403;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-30;Bom;Apartamento;0,00;36196;-8.035969;-34.895826;2025
rua andre reboucas;106;apto 302 edf bellagio residence;230000,00;Rosarinho;Recife;PE;2015;610,36;59,74;0,02165;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-16;Bom;Apartamento;0,00;4928;-8.032817;-34.897594;2025
rua andre reboucas;118;apto 0502 edf ana lopes;350000,00;Rosarinho;Recife;PE;1974;748,85;144,15;0,07635;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-16;Bom;Apartamento;0,00;4928;-8.032759;-34.897729;2025
av santos dumont;881;apto 0904 edf ilha de cedros;367000,00;Rosarinho;Recife;PE;1984;1231,05;99,45;0,02799;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-01;Bom;Apartamento;0,00;53996;-8.033767;-34.896839;2025
rua engenheiro sampaio;68;apto 1204 splendid rosarinho;340000,00;Rosarinho;Recife;PE;2014;2202,75;59,93;0,00727;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-11;Bom;Apartamento;238000,00;53627;-8.033695;-34.897214;2025
